file,category,pexels_url,file_url,duration_s,bytes,sha256
neg_assist_6646612.mp4,assist,https://www.pexels.com/video/6646612/,https://videos.pexels.com/video-files/6646612/6646612-sd_640_360_30fps.mp4,17.65,1202078,d114a92b0dab8b8a429d6222f85bba5bcf6b9982aa36b804f11c9e363ebf31a3
neg_assist_6646617.mp4,assist,https://www.pexels.com/video/6646617/,https://videos.pexels.com/video-files/6646617/6646617-sd_360_640_30fps.mp4,11.44,728767,1094a3dabb7e3255a413b32588df3219f722788231ad38b26da78595f0a12aeb
neg_assist_6646654.mp4,assist,https://www.pexels.com/video/6646654/,https://videos.pexels.com/video-files/6646654/6646654-sd_640_360_30fps.mp4,19.09,1313052,6519805417b770606ba59c6e235b7dbecc17a1f78252e6dc272bbc999499f204
neg_assist_6646663.mp4,assist,https://www.pexels.com/video/6646663/,https://videos.pexels.com/video-files/6646663/6646663-sd_360_640_24fps.mp4,17.35,1005605,d282fea7117e72539190bca06bfab0d1fc0530b331a6f7ea66b411d6be803dd4
neg_assist_6646681.mp4,assist,https://www.pexels.com/video/6646681/,https://videos.pexels.com/video-files/6646681/6646681-sd_640_360_24fps.mp4,19.1,774942,4f30fa166a3518578acaa94c4869664cb5243a9957c3d35a2164b48957437c55
neg_assist_7475255.mp4,assist,https://www.pexels.com/video/7475255/,https://videos.pexels.com/video-files/7475255/7475255-sd_640_360_25fps.mp4,15.08,970463,e387c3ae9f71ee5c381d0e8d02925ac7af2feb8c011a4a21d4e3ca1b2f634e0f
neg_assist_7516772.mp4,assist,https://www.pexels.com/video/7516772/,https://videos.pexels.com/video-files/7516772/7516772-sd_360_640_25fps.mp4,8.48,324425,4c8bae7cbcad5b22c2cf40ff127a8890fbda2c2ba33995d9aa65dc385ccc9c84
neg_assist_7517374.mp4,assist,https://www.pexels.com/video/7517374/,https://videos.pexels.com/video-files/7517374/7517374-sd_640_360_25fps.mp4,9.48,568962,062e941ff7275a56db0efe37a19a63c1fb351569b3fc16e5f838f5aa095d6353
neg_assist_7517378.mp4,assist,https://www.pexels.com/video/7517378/,https://videos.pexels.com/video-files/7517378/7517378-sd_640_360_25fps.mp4,9.8,607324,e8ea1ff3527feb9ab85b93c0ab9e9e677d6d73ef0e544a177a9a33886fcd1b01
neg_assist_7517381.mp4,assist,https://www.pexels.com/video/7517381/,https://videos.pexels.com/video-files/7517381/7517381-sd_640_360_25fps.mp4,10.6,349430,a7c45f913f33c898465a40b3537587dcdd8571b3be96be35dff740acbc59f448
neg_assist_7517383.mp4,assist,https://www.pexels.com/video/7517383/,https://videos.pexels.com/video-files/7517383/7517383-sd_640_360_25fps.mp4,8.32,502098,a0dd599603e96782293eb8e4a3f3d42102bccb24005d2340a380f1592117280c
neg_assist_7522204.mp4,assist,https://www.pexels.com/video/7522204/,https://videos.pexels.com/video-files/7522204/7522204-sd_640_360_25fps.mp4,9.68,605475,ce471471fd45b7da75ca646044b3dd8bed55aecae261fb43d27ef269f41219c4
